id,keyword,text,target
1,bão lũ,"@WoodyLightyearx Mainnet mở 14/3/2023 là mốc lịch sử trọng đại cứu cánh Nhân văn ý nghĩa vĩ đại nhất trong lúc dịch bệnh covit19 Đang hoành hành ,chiến tranh , bão lũ ,thiên tai ,động đất ...nếu bình yên hưởng thụ pi thì không có ý nghĩa gì cả, thời gian không",1
3,bão lũ,Chúc các phu nhân đc lì xì nhìu nhìu tiền zô như bão lũ đánh bài thắng quài nghe ,0
4,bão lũ,"@LamNguy40552955 Dân Thanh Hoá ngày trước nghèo lắm hậu khắc nghiệt mất mùa, bão lũ qoanh năm. Một năm có 3 mùa Lúa thì gộp chung lại khoảng gần được 1 mùa vì hạn hán, ngập úng.Dân TH đói quanh năm,họ không còn gì để ăn lớp thì tỏa đi khắp miền đi xin ăn,lớp còn lại ( còn )",1
5,bão lũ,"Bão lũ, cháy rừng gây thiệt hại trên 353 tỷ USD trong năm 2022 https://t.co/LXyjMn2g9l",1
6,bão lũ,@wwwaenii Mấy con đin này lại kỳ thị Việt kiều à. Chắc chúng nó đ biết mỗi lần bão lũ hay gì là hội Việt kiều khắp nơi từ thiện nhiều lắm. Đến cái lô Vinfast ở Mẽo cũng hầu như toàn Vk ủng hộ. Hơn thế nữa còn gửi ngoại tệ về cho gd cũng là xây dựng quê hương,0
7,bão lũ,"""Đừng mong ước một cuộc đời sóng gió như tiểu thuyết, phim truyền hình. Vì đời thật không chỉ có sóng gió, mà còn có bão lũ, gió giật cấp 10, cấp 11, tầm nhìn xa không còn ai trông thấy""
Bài học đầu đời đầy sóng gió
@aswalrmm @Maedangyeu @justluvebiu @notu9712",0
8,bão lũ,"Đừng mong ước một cuộc đời sóng gió như tiểu thuyết, phim truyền hình. Vì đời thật không chỉ có sóng gió, mà còn có bão lũ, gió giật cấp 10, cấp 11, tầm nhìn xa không còn ai trông thấy.
——- https://t.co/2E8RGE5maj",0
10,bão lũ,hôm tôi bận vl thì bọn họ xuất hiện như bão lũ chết tim tôi,0
12,bão lũ,"Hoa hậu Bảo Ngọc cứu trợ miền Trung khi vừa về nước, khóc ngất ôm chặt gia đình có người thân mất vì bão lũ https://t.co/wmKP8IlZCM",1
13,bão lũ,gì hồi xưa có cái truyền thuyết gì trời bão lũ xong chôn quả gì ấy rồi sau này khui thấy cái 54 dân tộc anh em chui ra,0
14,bão lũ,"@mtpent_official Bão lũ mà ĐN tuyệt vời quá, HN và HCM cũng rất tuyệt ạ",1
15,bão lũ,@Kimmiie525 Năm nào cũng thiên tai bão lũ :(,0
16,bão lũ,0xC1887576bc95b61A924123Ef67dedb12568738E1 .ae ung hộ bão lũ sin ae chú BNB https://t.co/TmzguWzDvo,1
18,bão lũ,"@RyanNguyenHC E miền trung đây a ơi, bão lũ k sợ mà chỉ sợ k có tiền chơi crypto",0
19,bão lũ,"Từ hôm qua Đà Nẵng mưa to và nước ngập, nay đã thành lũ lụt luôn rồi. Tuổi thơ gắn liền với bão lũ, nay rời xa nhưng vẫn hướng về nhà. Mong mẹ, em và mọi người bình an https://t.co/RfctM3TS8O",1
20,bão lũ,@teeursumett Thì bảo lũ đạo đực giả xog lại giỏi chăm bò nữa chứ.,0
22,bão lũ,"Bão lũ thế này tại chế độ chính trị nào đây?
Bọn thống trị nó ăn hết thuế của dân rồi à? https://t.co/UrEJXPPum2",1
